sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S001693,58.83333,22.76667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,35
S001694,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,235
S001696,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,261
S001697,58.83333,22.76667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,854
S001698,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,208
S001700,58.83333,22.76667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,1351
S001701,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,166
S001702,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1857
S001703,58.66667,23.21667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,344
S001705,58.66667,23.21667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1389
S001707,58.66667,23.21667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,188
S001708,58.66667,23.21667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,50
S001709,58.66667,23.21667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,365
S001710,58.66667,23.21667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,931
S001711,58.66667,23.21667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,180
