sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,source,CV_Fold
GF4S20608b,721.0,57.500280629643804,705.6914672851562,208.5,32.3983268737793,70.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,698.0,2968.0,2425.0,0.9197276830673218,0.2065042406320572,74.0,1.1883299350738525,-0.875,0.0,0.41351136565208435,66.18240356445312,0.0,4686.4052734375,50.0,200.0,55.351356506347656,69.62937927246094,59.773860931396484,2,4,1,25,4,0.0,58.69583511352539,26.912500381469727,GlobalFungi,1
GF4T63otu,1222.0,258.5164284291418,3084.73046875,299.5,30.498329162597656,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,301.0,3974.0,4485.0,0.5284543037414551,-0.716053307056427,76.0,0.9613070487976074,0.875,0.0,0.0,260.8584899902344,0.0,8898.494140625,45.0,200.0,30.634479522705078,41.156192779541016,50.893775939941406,2,4,1,25,1,0.0,-4.354166507720947,-70.02083587646484,GlobalFungi,1
FMS16BI0342v2,2325.0,273.5500557672806,1367.635009765625,370.5168166420044,107.10332489013672,0.0,0.0,0.0,0.0,0.0,0.0,63.0,37.0,896.0,5165.0,4175.0,0.08483785390853882,0.8004881143569946,91.0,2.7640018463134766,2.75,2.229471206665039,0.0,19.76604461669922,0.0,2094.59716796875,1.0,186.17947387695312,64.50447845458984,20.57548713684082,59.4542236328125,2,2,1,5,7,0.6931471805599453,-13.512499809265137,132.45416259765625,GlobalFungi,9
FMS17249v2,1163.0,16.483472148369934,255.07655334472656,269.48347214836997,118.60165405273438,0.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,596.0,-497.0,4597.0,0.2236984670162201,-0.22637121379375458,582.0,1.1189578771591187,-1.5625,0.0,0.0,0.0,0.0,1505.984130859375,24.0,191.80068969726562,46.61227035522461,33.97454071044922,80.94602966308594,1,2,1,27,8,2.70805020110221,48.61249923706055,116.7874984741211,GlobalFungi,1
FMS16BI1027v2,1188.0,134.5,979.8458862304688,192.46676783888907,37.599998474121094,28.0,0.0,14.0,34.0,0.0,7.0,16.0,0.0,1360.0,4884.0,1762.0,-0.3765661120414734,0.6309036016464233,75.0,0.6443394422531128,1.5,0.0,0.0,57.78293228149414,0.0,17800.185546875,1.0,200.0,64.70056915283203,55.431480407714844,56.478416442871094,2,2,1,5,4,1.3862943611198906,-39.9375,144.12083435058594,GlobalFungi,2
GF4S19751b,711.0,55.5,727.129638671875,211.5,30.803321838378906,23.0,5.0,5.0,0.0,34.0,7.0,27.0,0.0,879.0,3907.0,1768.0,0.16278979182243347,-0.6309036016464233,130.0,0.5055816173553467,-0.4375,0.0,0.03763868287205696,64.11341857910156,0.0,5506.576171875,24.0,200.0,60.279052734375,84.65410614013672,54.103965759277344,2,4,1,25,4,0.0,58.079166412353516,26.745832443237305,GlobalFungi,3
GF4S08084b,1441.0,220.43465066957185,1886.4395751953125,297.4346506695719,80.9949722290039,10.0,0.0,0.0,40.0,0.0,0.0,38.0,12.0,578.0,3651.0,2914.0,-0.6221657395362854,-0.6205838322639465,855.0,15.613021850585938,1.5,0.0,0.6285524368286133,106.2069320678711,0.0,13403.58203125,1.0,150.87332153320312,37.6452522277832,39.378360748291016,54.23492431640625,1,1,2,35,1,2.9575110607337933,21.612499237060547,101.57083129882812,GlobalFungi,2
GF4T1685otu,509.9999694824219,-102.5165232026506,496.92437744140625,158.46712732270603,67.80671691894531,0.0,11.0,0.0,0.0,17.0,0.0,0.0,38.0,1438.0,3343.0,2860.0,0.7334809303283691,-0.6793398261070251,900.5,5.691415786743164,-1.0625,0.0,0.0,6.044444561004639,1.0,2191.220458984375,1.0,115.43753814697266,54.00893783569336,157.25926208496094,49.3182487487793,2,4,1,25,6,0.0,60.795833587646484,151.7624969482422,GlobalFungi,3
GF4S17689b,942.0,76.38600494180892,1881.17724609375,226.36918524781677,64.20333099365234,19.0,0.0,0.0,3.0,27.0,0.0,50.0,1.0,158.0,-210.0,5908.0,-0.9506093263626099,0.2886144518852234,1318.5,23.548206329345703,-25.1875,0.0,0.0,137.44017028808594,0.0,7872.03564453125,1.0,150.57449340820312,40.42326354980469,151.78831481933594,55.4873161315918,1,2,1,27,4,0.0,35.954166412353516,138.8125,GlobalFungi,4
GF4S21813b,744.0,58.5,702.4989624023438,206.49971938045596,32.00167465209961,18.0,0.0,2.0,0.0,43.0,0.0,37.0,0.0,1504.0,5114.0,1777.0,-0.7430381774902344,0.31104886531829834,27.5,1.0919004678726196,-1.375,0.0,45.017730712890625,76.14755249023438,0.0,4790.802734375,50.0,195.22605895996094,60.32147979736328,127.9146728515625,51.90137481689453,2,4,1,25,4,2.397804322811827,59.47083282470703,24.879167556762695,GlobalFungi,5
